ID,Name,Sex,Age,Height,Weight,Team,country,Games,Year,Season,City,Sport,Event,Medal
111677,Liv Grete Skjelbreid-Poire,F,27.0,167.0,58.0,Norway,NOR,2002 Winter,2002,Winter,Salt Lake City,Biathlon,Biathlon Women's 10 kilometres Pursuit,
111677,Liv Grete Skjelbreid-Poire,F,27.0,167.0,58.0,Norway,NOR,2002 Winter,2002,Winter,Salt Lake City,Biathlon,Biathlon Women's 15 kilometres,Silver
111677,Liv Grete Skjelbreid-Poire,F,27.0,167.0,58.0,Norway,NOR,2002 Winter,2002,Winter,Salt Lake City,Biathlon,Biathlon Women's 4 x 7.5 kilometres Relay,Silver
111677,Liv Grete Skjelbreid-Poire,F,31.0,167.0,58.0,Norway,NOR,2006 Winter,2006,Winter,Torino,Biathlon,Biathlon Women's 7.5 kilometres Sprint,
111677,Liv Grete Skjelbreid-Poire,F,31.0,167.0,58.0,Norway,NOR,2006 Winter,2006,Winter,Torino,Biathlon,Biathlon Women's 10 kilometres Pursuit,
111677,Liv Grete Skjelbreid-Poire,F,31.0,167.0,58.0,Norway,NOR,2006 Winter,2006,Winter,Torino,Biathlon,Biathlon Women's 12.5 kilometres Mass Start,
111677,Liv Grete Skjelbreid-Poire,F,31.0,167.0,58.0,Norway,NOR,2006 Winter,2006,Winter,Torino,Biathlon,Biathlon Women's 15 kilometres,
111677,Liv Grete Skjelbreid-Poire,F,31.0,167.0,58.0,Norway,NOR,2006 Winter,2006,Winter,Torino,Biathlon,Biathlon Women's 4 x 6 kilometres Relay,
111678,Kristen Skjeldal,M,24.0,175.0,70.0,Norway,NOR,1992 Winter,1992,Winter,Albertville,Cross Country Skiing,Cross Country Skiing Men's 10 kilometres,
111678,Kristen Skjeldal,M,24.0,175.0,70.0,Norway,NOR,1992 Winter,1992,Winter,Albertville,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,
111678,Kristen Skjeldal,M,24.0,175.0,70.0,Norway,NOR,1992 Winter,1992,Winter,Albertville,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Gold
111678,Kristen Skjeldal,M,26.0,175.0,70.0,Norway,NOR,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres,
111678,Kristen Skjeldal,M,34.0,175.0,70.0,Norway,NOR,2002 Winter,2002,Winter,Salt Lake City,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres,Bronze
111678,Kristen Skjeldal,M,34.0,175.0,70.0,Norway,NOR,2002 Winter,2002,Winter,Salt Lake City,Cross Country Skiing,Cross Country Skiing Men's 10/10 kilometres Pursuit,
111678,Kristen Skjeldal,M,34.0,175.0,70.0,Norway,NOR,2002 Winter,2002,Winter,Salt Lake City,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Gold
111680,Lorns Olav Skjemstad,M,27.0,,,Norway,NOR,1968 Winter,1968,Winter,Grenoble,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres,
111681,Stian Skjerahaug,M,24.0,168.0,61.0,Norway,NOR,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Individual All-Around,
