ID,Name,Sex,Age,Height,Weight,Team,country,Games,Year,Season,City,Sport,Event,Medal
94209,b223b9794fe5b3d6f34e07835a7a24ab0678f0291c20eca9f62f1746ea3f2272,F,26.0,174.0,58.0,Norway,NOR,1988 Winter,1988,Winter,Calgary,Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,
94210,5d8979c090c501795c08c74f35b4efadf4b9c232792e49a582a009a48335afe9,F,23.0,169.0,64.0,Norway,NOR,1988 Summer,1988,Summer,Seoul,Handball,Handball Women's Handball,Silver
94210,5d8979c090c501795c08c74f35b4efadf4b9c232792e49a582a009a48335afe9,F,27.0,169.0,64.0,Norway,NOR,1992 Summer,1992,Summer,Barcelona,Handball,Handball Women's Handball,Silver
94212,c9b265b467663b5680d08b6f403a4bdd8e63ac8b361dbb870d37e639cf82fbcc,F,21.0,171.0,64.0,Norway,NOR,1996 Summer,1996,Summer,Atlanta,Football,Football Women's Football,Bronze
94212,c9b265b467663b5680d08b6f403a4bdd8e63ac8b361dbb870d37e639cf82fbcc,F,25.0,171.0,64.0,Norway,NOR,2000 Summer,2000,Summer,Sydney,Football,Football Women's Football,Gold
94214,2db8d52059a8acd8b9aec2781ab648a00a4b658461abbcfe8cc6a256c35d5780,M,25.0,179.0,61.0,Norway,NOR,2006 Winter,2006,Winter,Torino,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",
94214,2db8d52059a8acd8b9aec2781ab648a00a4b658461abbcfe8cc6a256c35d5780,M,25.0,179.0,61.0,Norway,NOR,2006 Winter,2006,Winter,Torino,Ski Jumping,"Ski Jumping Men's Large Hill, Individual",
94215,a2fefbccde03c3f85a772b0481478b1b2f7c5cd52489767e2772807c7369f377,F,35.0,173.0,68.0,Norway,NOR,2016 Summer,2016,Summer,Rio de Janeiro,Golf,Golf Women's Individual,
94216,755e46512d698f24c084706efcd2fdab170fbf279199e08cb5ae95f38735d68f,M,17.0,,,Norway,NOR,1952 Summer,1952,Summer,Helsinki,Swimming,Swimming Men's 100 metres Backstroke,
94217,7f66caf002df0322e5185c5e8d8c6b0d34b6cc94cc4582e81c4aa913a6b56c15,M,27.0,181.0,83.0,Norway,NOR,2010 Winter,2010,Winter,Vancouver,Cross Country Skiing,Cross Country Skiing Men's Sprint,
94217,7f66caf002df0322e5185c5e8d8c6b0d34b6cc94cc4582e81c4aa913a6b56c15,M,27.0,181.0,83.0,Norway,NOR,2010 Winter,2010,Winter,Vancouver,Cross Country Skiing,Cross Country Skiing Men's Team Sprint,Gold
94218,cceeb2d27e4b612da8d2e42a3c357006dd4dfb52b37e63969e1445fd2ebe0ed2,F,37.0,178.0,66.0,Norway,NOR,1998 Winter,1998,Winter,Nagano,Curling,Curling Women's Curling,
94218,cceeb2d27e4b612da8d2e42a3c357006dd4dfb52b37e63969e1445fd2ebe0ed2,F,41.0,178.0,66.0,Norway,NOR,2002 Winter,2002,Winter,Salt Lake City,Curling,Curling Women's Curling,
94260,1966498e9a5b09c05012606fae478351cfd8c91b68f01e766082172d6eef993f,M,30.0,,,Norway,NOR,1936 Summer,1936,Summer,Berlin,Equestrianism,"Equestrianism Men's Jumping, Individual",
94260,1966498e9a5b09c05012606fae478351cfd8c91b68f01e766082172d6eef993f,M,30.0,,,Norway,NOR,1936 Summer,1936,Summer,Berlin,Equestrianism,"Equestrianism Men's Jumping, Team",
94554,e2d513e13b228c2c4a1e76bb4ee19a6ab1b8acd4767e8c50eb471eb772e46fb4,M,25.0,196.0,80.0,Norway,NOR,2012 Summer,2012,Summer,London,Fencing,"Fencing Men's epee, Individual",Silver
94897,1786d50462a6f09fcb041c5e0f7900c3b9eab422ade6c8c1b5d1e62893890441,F,31.0,168.0,50.0,Norway,NOR,2004 Summer,2004,Summer,Athina,Athletics,"Athletics Women's 1,500 metres",
95400,ea01daf0b97aff8f2ef15224b781f1d31a264d3572938b96dcbf4bd9ad5811f9,M,34.0,,,Norway,NOR,1912 Summer,1912,Summer,Stockholm,Fencing,"Fencing Men's epee, Individual",
95889,9b86e7eb27299c8ccb89bef82808b74c8b616456cb283ff5c3d3c61f2fcc6667,M,22.0,182.0,71.0,Norway,NOR,1988 Summer,1988,Summer,Seoul,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Silver
95889,9b86e7eb27299c8ccb89bef82808b74c8b616456cb283ff5c3d3c61f2fcc6667,M,25.0,182.0,71.0,Norway,NOR,1992 Summer,1992,Summer,Barcelona,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,
97307,fec98031a4ff24e814d98db70be5cb07ba09adfff1dd9a3c9278184cf4c2f8ef,M,28.0,188.0,84.0,Norway,NOR,1972 Winter,1972,Winter,Sapporo,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",
97307,fec98031a4ff24e814d98db70be5cb07ba09adfff1dd9a3c9278184cf4c2f8ef,M,28.0,188.0,84.0,Norway,NOR,1972 Winter,1972,Winter,Sapporo,Ski Jumping,"Ski Jumping Men's Large Hill, Individual",
98009,f82e90beb1c3f1a55510baa3cae765c5a17eff7dbc67d9007f2400bdf40085b1,M,32.0,,,Norway,NOR,1928 Summer,1928,Summer,Amsterdam,Equestrianism,"Equestrianism Men's Three-Day Event, Individual",
98009,f82e90beb1c3f1a55510baa3cae765c5a17eff7dbc67d9007f2400bdf40085b1,M,32.0,,,Norway,NOR,1928 Summer,1928,Summer,Amsterdam,Equestrianism,"Equestrianism Men's Three-Day Event, Team",Silver
98009,f82e90beb1c3f1a55510baa3cae765c5a17eff7dbc67d9007f2400bdf40085b1,M,40.0,,,Norway,NOR,1936 Summer,1936,Summer,Berlin,Equestrianism,"Equestrianism Men's Dressage, Individual",
98009,f82e90beb1c3f1a55510baa3cae765c5a17eff7dbc67d9007f2400bdf40085b1,M,40.0,,,Norway,NOR,1936 Summer,1936,Summer,Berlin,Equestrianism,"Equestrianism Men's Dressage, Team",
98009,f82e90beb1c3f1a55510baa3cae765c5a17eff7dbc67d9007f2400bdf40085b1,M,40.0,,,Norway,NOR,1936 Summer,1936,Summer,Berlin,Equestrianism,"Equestrianism Men's Jumping, Individual",
98009,f82e90beb1c3f1a55510baa3cae765c5a17eff7dbc67d9007f2400bdf40085b1,M,40.0,,,Norway,NOR,1936 Summer,1936,Summer,Berlin,Equestrianism,"Equestrianism Men's Jumping, Team",
98020,b08d717de5d152566dbe6afd934a877cc293e97292d54735e30fd39bdf2e6f95,M,31.0,,,Norway,NOR,1928 Summer,1928,Summer,Amsterdam,Cycling,"Cycling Men's Road Race, Individual",
98778,fab94c58759bc85c8e2e98bb84f00100bbd48289e0ec307928a0f1e03c722c77,M,34.0,179.0,78.0,Norway,NOR,2002 Winter,2002,Winter,Salt Lake City,Curling,Curling Men's Curling,Gold
98778,fab94c58759bc85c8e2e98bb84f00100bbd48289e0ec307928a0f1e03c722c77,M,38.0,179.0,78.0,Norway,NOR,2006 Winter,2006,Winter,Torino,Curling,Curling Men's Curling,
98779,9e261eaa2c50db2af025709ba61d933db5d03a5ca4aaf71f9fd5807fda1c3c56,M,42.0,186.0,90.0,Norway,NOR,1998 Winter,1998,Winter,Nagano,Curling,Curling Men's Curling,Bronze
98781,3049f3c9777db4321df12107556dc9260af5c77d4688c98940c274d564f8969d,M,24.0,191.0,100.0,Norway,NOR,1948 Summer,1948,Summer,London,Athletics,Athletics Men's Discus Throw,
98830,11095f7e6b21d5a1804830b304fc4424f85677cab7ff35bd57d0ade8c7f5f928,F,17.0,,,Norway,NOR,1928 Winter,1928,Winter,Sankt Moritz,Figure Skating,Figure Skating Women's Singles,
98931,fdfbb2ff08ea232bef8e9f530a50cc1ea05414b75e361f50d1de110b4190ab28,F,23.0,177.0,64.0,Norway,NOR,2000 Summer,2000,Summer,Sydney,Football,Football Women's Football,Gold
98948,518120c94e9d40f1af91a4b3a96401af80e2463145dc416e57d412e44fe4ba85,M,33.0,184.0,72.0,Norway,NOR,2008 Summer,2008,Summer,Beijing,Cycling,"Cycling Men's Road Race, Individual",
98954,2720f99c068e349ba3fda18046cdb2009c784c9beb4893040a5b188d60081fce,M,25.0,,,Norway,NOR,1936 Summer,1936,Summer,Berlin,Athletics,"Athletics Men's 10,000 metres",
99003,05565a6104e7245b2235f146eb49a5caec224116fea7e5177ab5c638bcc85909,M,20.0,183.0,82.0,Norway,NOR,1976 Summer,1976,Summer,Montreal,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",
99003,05565a6104e7245b2235f146eb49a5caec224116fea7e5177ab5c638bcc85909,M,28.0,183.0,82.0,Norway,NOR,1984 Summer,1984,Summer,Los Angeles,Canoeing,"Canoeing Men's Kayak Singles, 500 metres",
